"CD_GEOCODM","LONG","LAT","ALT"
"1200500",-68.655684061692,-9.065339505,132.133034
"1200609",-70.7555010628937,-8.15566859176562,172.144466
"1200708",-68.5062948050463,-10.6520719403355,173.281643
"1200807",-67.5405900835194,-9.60085823118788,134.322793
"1300029",-64.8135346775686,-3.21658376906639,46.116014
"1300060",-68.2096146409404,-3.36680518750561,73.447708
"1300086",-61.4059034797501,-3.57637042689027,21.613748
"1300102",-61.6589553828779,-3.74538558611889,20.346246
"1300144",-59.8856661047188,-7.1978701516076,132.98111
"1300201",-70.1879892845226,-4.36615748971603,76.016638
"1300300",-59.1335670918168,-3.57866364177127,20.491551
"1300409",-62.9256696581026,-0.972801052532191,35.36196
"1300508",-57.0677504898938,-2.7981498369298,11.234609
"1300607",-70.0273484332765,-4.37498901860391,69.803811
"1300631",-61.3715708916659,-3.89451340981806,22.862003
"1300680",-57.5877073464737,-2.97172653158936,23.018048
"1300706",-67.3995777566805,-8.75124319609379,106.766033
"1300805",-59.5945590194969,-4.39061989147273,29.014905
"1300839",-61.2113341331817,-3.3300933919416,20.16684
"1300904",-64.3942308189288,-6.52910607582614,52.008963
"1301001",-66.8966352816837,-4.88166590420413,66.15796
"1301100",-60.3638098437089,-3.82244727004599,25.175384
"1301159",-59.8263140608339,-3.1973965948696,19.228559
"1301209",-63.1421839840562,-4.08421915877588,37.939947
"1301308",-62.0634296604883,-3.84304593273892,28.155367
"1301407",-69.8662902624416,-6.66735256685182,122.174399
"1301506",-70.0304125429825,-7.43981754396838,137.396301
"1301605",-66.0965029898347,-2.51227068454779,58.147019
"1301654",-72.5824305383396,-7.5477744148336,182.751246
"1301704",-63.0266980219283,-7.51222495061139,55.017452
"1301803",-71.6944180603084,-7.05098011443721,156.327962
"1301852",-60.1933881661307,-3.2810538776069,43.223118
"1301902",-58.4401754367571,-3.14037880391635,21.659418
"1301951",-68.2479174359782,-6.43779934861918,112.652164
"1302009",-58.0345458839662,-2.74184275232884,69.268709
"1302108",-66.9969034946413,-1.880844858703,69.840525
"1302207",-66.0630419255434,-3.47488959889068,64.379174
"1302306",-66.7713275466878,-2.74464644685786,62.144425
"1302405",-64.79477302752,-7.26194655332705,57.507314
"1302504",-60.6205894458706,-3.29827803546755,26.965542
"1302553",-60.4588813063745,-3.42907966935262,29.481121
"1302603",-60.023335181061,-3.13469149120195,34.356331
"1302702",-61.2992484088508,-5.81320526118813,44.346313
"1302801",-65.5742837031641,-1.86643687730125,47.135937
"1302900",-57.7150343867525,-3.38642792621106,24.058942
"1303007",-56.7167699133376,-2.1889837668969,1
"1303106",-59.0930740260433,-3.88759283191138,12.073148
"1303205",-60.948810707829,-2.62343245902763,21.79964
"1303304",-60.3770456690009,-5.12266931419617,29.063563
"1303403",-56.7362921451951,-2.62705258583723,17.327756
"1303502",-67.0020974885282,-7.71404364432219,118.458317
"1303536",-60.0256468344675,-2.058429085233,58.287098
"1303569",-59.704738094199,-2.6933015416451,34.737296
"1303601",-65.020022639512,-0.416694831881864,34.120877
"1303700",-67.9464851438841,-3.10748630918151,67.357928
"1303809",-67.0836428963463,-0.136462788116522,61.510476
"1303908",-68.9448534881358,-3.46650962349132,86.623249
"1303957",-57.8703463558346,-2.57015257967785,16.938658
"1304005",-58.2148008608269,-2.83642742966584,64.017729
"1304062",-69.9462443752272,-4.23188367564665,63
"1304104",-63.1870948671802,-5.62422351778794,50.653389
"1304203",-64.7084196633027,-3.34837249394151,46.584182
"1304237",-67.7764822806952,-2.86109124983543,66.102264
"1304260",-65.1553456401554,-2.9836092426921,42.588237
"1304302",-57.7598281745956,-2.53661167184038,17.708774
"1304401",-58.1596410413098,-3.1346331156473,23.07491
"1400027",-61.4205901726631,3.6521184454459,107.717395
"1400050",-61.3140223901178,2.99382294765484,121.741984
"1400100",-60.6705326729651,2.81668191910439,79.828228
"1400159",-59.8780066289099,3.35028861911032,86.647022
"1400175",-60.6020628476112,2.60766639841651,82.9828
"1400209",-61.14917687013,1.80387124729759,49.583211
"1400233",-59.6948100736757,0.872674507186562,128.834768
"1400282",-61.0522585850197,2.16821476520387,80.642282
"1400308",-60.9115185306216,2.47977223505342,69.628559
"1400407",-59.6352062835683,3.88297828530181,102.784875
"1400456",-61.1473063471493,4.47525934021226,912.129909
"1400472",-60.4250604939819,0.937195393597556,83.796679
"1400506",-59.9060443451544,0.947157427466681,121.245643
"1400605",-60.0282667741903,1.01811162739126,116.345918
"1400704",-60.195716148042,4.58544038754255,605.799563
"1500107",-48.8844038207231,-1.72346986284591,10.120343
"1500131",-48.3967621257945,-4.9513908955313,192.756651
"1500206",-48.2004564317501,-1.9634365,7.395031
"1500305",-50.3914275892332,-0.159171693779797,3.136401
"1500347",-50.4852745072531,-6.80494886740538,296.299435
"1500404",-54.7408623501896,-1.951397505,39.131195
"1500503",-52.5768350868127,-1.52733880276478,18.728788
"1500602",-52.2143763052078,-3.20565951,104.748288
"1500701",-49.945001040544,-0.984451394008702,5.001054
"1500800",-48.372066654168,-1.36871356826946,26.564442
"1500859",-51.2016217984581,-3.47610463506868,56.30874
"1500909",-46.6416457856711,-1.02292101,15.987763
"1500958",-47.5561746036128,-2.12937601319444,41.368894
"1501006",-55.3307343898178,-3.60559525928393,15.451251
"1501105",-50.2219869206135,-1.88980806036172,1.61555
"1501204",-49.6727533733253,-2.79196186136136,30.562405
"1501253",-50.4060471215195,-7.3510721924244,401.3302
"1501303",-48.6270728925156,-1.505767005,7.076526
"1501402",-48.4878256874876,-1.459845,8.471477
"1501451",-54.9426747393262,-2.64902016946856,167.560031
"1501501",-48.2418364505703,-1.361437515,31.61379
"1501576",-48.5990399590615,-5.04736270432029,172.278567
"1501600",-47.3058918168639,-1.36747435687254,54.760633
"1501709",-46.765754213664,-1.05352395620564,16.040139
"1501725",-52.5434411922788,-3.29780370400837,189.051168
"1501758",-48.4057604223874,-5.70729615383609,221.292832
"1501782",-49.5698796832857,-3.77813541287867,95.475014
"1501808",-50.4808947990195,-1.6907365,9.90157
"1501907",-48.035875014396,-1.51399146230061,17.010542
"1501956",-46.5473914166255,-1.75289700493124,48.722592
"1502004",-48.9606675773871,-1.00878626563928,9.563874
"1502103",-49.497830168997,-2.24683848,11.228958
"1502152",-49.8489584319153,-6.5321966156294,295.750409
"1502202",-47.1751261231344,-1.192441995,27.276528
"1502301",-47.0628253774009,-1.74618729323752,64.787476
"1502400",-47.9266431419442,-1.29575680504525,46.797427
"1502509",-49.9893186050714,-0.162437290121912,11.587442
"1502608",-48.2887284319494,-0.932091243957739,12.004689
"1502707",-49.2645008124957,-8.26486353,180.163212
"1502756",-47.9498869390047,-1.98452146277275,49.262563
"1502764",-50.7715783775131,-7.81110653689927,311.596246
"1502772",-49.6022142249504,-6.09681995220666,210.954188
"1502806",-49.7915228470854,-1.80942341966693,2.481094
"1502855",-55.1196786087308,-1.88992870430549,23.287489
"1502905",-47.8512650859352,-0.73249551,16.082956
"1502939",-47.5559148859934,-4.29077772,261.070712
"1502954",-49.3739519421522,-6.10352516107139,138.742621
"1503002",-56.745753017307,-2.17297524194977,19.039247
"1503044",-49.6975784122373,-7.55870087237008,187.622498
"1503077",-47.0450460172973,-1.93169704310669,45.818804
"1503093",-49.1010449237426,-3.842468,82.583803
"1503101",-51.6436957233941,-1.404918,16.392511
"1503200",-47.6223754920271,-1.124322,42.533392
"1503309",-48.9622994689466,-1.983116,9.283106
"1503408",-47.9133927465885,-1.42658198091031,3.928414
"1503457",-47.4997175887983,-2.5575285,46.116508
"1503507",-47.4407556128483,-1.771474995,17.251349
"1503606",-55.9900488572777,-4.26372948,25.058629
"1503705",-49.3244258612861,-5.12883702636091,88.561741
"1503754",-57.7663398583794,-6.22355173138645,91.910223
"1503804",-49.1127815625675,-4.448405475,117.087267
"1503903",-56.0949976884001,-2.155252995,25.611357
"1504000",-49.3815339012019,-1.8919485,7.667906
"1504059",-47.5522901794773,-2.04770744079076,41.375185
"1504109",-47.5991818964912,-0.795850156021161,22.995751
"1504208",-49.1420253334067,-5.35260576313025,83.617783
"1504307",-47.4552679594076,-0.762419459981231,21.232481
"1504406",-47.7025487537677,-0.712150996347819,10.012599
"1504422",-48.340535877783,-1.3464172655758,14.164564
"1504455",-52.8883453507243,-3.44541741218688,128.521265
"1504505",-50.7174646976964,-1.803446698641,8.899709
"1504604",-49.5090234612729,-2.58287297327153,14.514668
"1504703",-48.7671991273719,-1.885889,14.428254
"1504802",-54.073374725636,-2.003328,67.366476
"1504901",-49.2168324424737,-1.5300262083549,6.205626
"1504950",-46.9620928836736,-2.2676259890313,72.106754
"1504976",-49.0798869380164,-4.92308630702649,112.806927
"1505007",-47.3932022764599,-1.20414364746687,47.717253
"1505031",-55.4198701179784,-7.03483591328812,224.205442
"1505064",-49.9486382443426,-4.2481485,95.016847
"1505106",-55.5163235097126,-1.90923549588121,29.793842
"1505205",-49.8551061087735,-2.004734,7.081295
"1505304",-55.8627995152359,-1.7637535,43.484541
"1505403",-47.1176193628501,-1.54894714230244,15.406258
"1505437",-51.0908327746816,-6.74061708637736,322.442251
"1505486",-50.6348408304298,-3.8303057037573,71
"1505494",-48.3217937261637,-5.74993410622605,123.148483
"1505502",-47.3569615610519,-2.9941905,88.343788
"1505536",-49.900780634297,-6.07272988763184,155.338669
"1505551",-50.0482755318998,-7.83679440397357,191.079864
"1505601",-47.3179270215591,-1.18956924075654,24.528518
"1505635",-48.8684006672187,-6.45367623455792,191.927264
"1505650",-54.2169681312654,-3.86731556213536,107.337623
"1505700",-48.8717855600433,-1.3965999975235,4.199593
"1505809",-50.822490442211,-1.936451,10.988676
"1505908",-52.2424769190201,-1.74609008880885,12.672152
"1506005",-53.4818139407895,-1.8056945,11.990042
"1506104",-47.1172512589126,-0.940111515930574,19.890609
"1506112",-47.006786993576,-0.900115853739325,13.512052
"1506138",-50.0296418255093,-8.0276045,223.681568
"1506161",-50.0464108775224,-7.31111524468815,199.645647
"1506187",-48.0699737493982,-4.77782172703555,192.542076
"1506195",-54.9058622598691,-4.09906539,144.182125
"1506203",-47.3531202631536,-0.623638,27.148172
"1506302",-48.5131865994469,-0.754525974353047,15.63598
"1506351",-48.2977406497887,-1.22943946699244,12.723869
"1506401",-49.1716155661252,-0.659974125599254,4.66635
"1506500",-48.1630599409531,-1.29739590129143,29.24218
"1506559",-46.9061692026983,-1.51882789138752,80.139038
"1506583",-49.7193518572257,-8.87055053969294,165
"1506609",-47.5746954138091,-1.3478664592967,54.948229
"1506708",-50.344804321129,-9.329424525,177.690018
"1506807",-54.7185701672711,-2.43621332999996,52.691026
"1506906",-47.400924744868,-0.928719535783208,16.290325
"1507003",-48.1324330748457,-1.1516925,23.946605
"1507102",-48.0258054980831,-0.746617759994861,14.205716
"1507151",-48.7203734107844,-5.549841,141.567835
"1507201",-47.7747845692257,-1.6758145,8.956195
"1507300",-51.9937825239643,-6.64248327834078,192.412806
"1507409",-47.7905146107051,-1.17018878467698,34.845062
"1507458",-48.5557124861926,-6.39895797,127.325684
"1507466",-47.9207241656462,-0.851002145269607,16.302402
"1507474",-47.1726742979205,-0.766442531515371,18.189947
"1507508",-48.7886334020461,-5.35900272441641,100.552859
"1507607",-47.4824089444892,-1.61713591449048,12.146203
"1507706",-49.5323121746161,-1.7188505,6.685908
"1507755",-49.7035807118843,-6.94285711257384,199.915545
"1507805",-51.9530564180171,-2.59485041832352,2
"1507904",-48.5160126622773,-0.7259255,15.888703
"1507953",-48.9512816295758,-2.9370795,52.194732
"1507961",-47.9078083483744,-1.03482666361629,35.418681
"1507979",-56.4909047722432,-2.10811447373903,20.198662
"1508001",-48.146896586572,-2.41936685526733,15.20066
"1508035",-46.8994783371171,-1.06878405856835,32.912548
"1508050",-55.9961700349273,-4.69981914969727,126.408414
"1508084",-51.1395392466358,-6.74997200738229,298.984349
"1508100",-49.6671843672248,-3.76688908431164,32.472291
"1508126",-47.5031447549992,-3.75719301,123.904014
"1508159",-53.7370310504594,-3.7065285,162.216302
"1508209",-48.1414985852069,-0.855532573667763,7.545379
"1508308",-46.1387652161496,-1.20327852667727,7.618306
"1508357",-52.0112603538154,-2.8837657102288,16.543706
"1508407",-49.9427005843752,-7.10151282714604,236.843462
"1600055",-52.0035384352918,0.897841040971924,139.974718
"1600105",-50.7932144702699,2.05392124468205,11.94772
"1600154",-51.9465942732743,0.776882860563944,73.579336
"1600204",-50.9447727342665,2.49655904456698,8.604143
"1600212",-50.8016260298776,0.97107805541715,7.891462
"1600238",-51.1874290460046,0.853977393142956,39.05903
"1600253",-50.7001794374183,0.600653288304609,16
"1600279",-52.5390207369393,-0.8556645,8.685386
"1600303",-51.057405457036,0.03895101,14.506623
"1600402",-51.2860768561013,-0.124396328821101,7.219743
"1600501",-51.8305525552731,3.85113073255929,3
"1600535",-51.4144488229915,0.712554701824323,70.030128
"1600550",-50.7842537212883,1.74250848707834,10.71486
"1600600",-51.1728464650687,-0.0383734790956603,17.139647
"1600709",-50.9127861523142,1.50984824031107,18.47916
"1600808",-52.4196147795718,-0.918977088542799,3.071937
"1700251",-49.1624375554797,-9.62179071199836,238.861866
"1700301",-47.470456587945,-6.5471708206181,173.193729
"1700350",-48.9412400221409,-11.3037430465089,335.700857
"1700400",-47.1741716842358,-11.5745234694478,420.740438
"1700707",-49.12681140673,-12.4788153208227,302.24726
"1701002",-48.0797646061948,-6.36281815410008,192.715457
"1701051",-47.8620778391735,-6.3877527497248,270.833554
"1701101",-47.9766700113511,-9.9558777145605,267.070795
